node_id,arrival_time,early_violation,late_violation,penalty
10,3.0,10.0,0.0,1000.0
11,6.0,0.0,0.0,0.0
7,10.0,0.0,0.0,0.0
8,14.0,0.0,0.0,0.0
5,18.0,0.0,4.0,320.0
6,21.0,0.0,1.0,20.0
13,24.0,0.0,0.0,0.0
2,27.0,0.0,15.0,4500.0
14,32.0,0.0,14.0,3920.0
15,36.0,0.0,16.0,5120.0
4,42.0,0.0,17.0,5780.0
12,46.0,0.0,33.0,21780.0
3,49.0,0.0,31.0,19220.0
9,53.0,0.0,33.0,21780.0
1,57.0,0.0,31.0,19220.0

# ==================================================
# Summary
# ==================================================
# Route,[0, 10, 11, 7, 8, 5, 6, 13, 2, 14, 15, 4, 12, 3, 9, 1, 0]
# Travel time,31.0000
# TW penalty,102660.0000
# Objective,102691.0000
# Customers served,15
# ==================================================
