node_id,arrival_time,early_violation,late_violation,penalty
28,1.0,0.0,0.0,0.0
12,4.0,1.0,0.0,10.0
24,8.0,7.0,0.0,490.0
4,12.0,0.0,0.0,0.0
25,15.0,0.0,0.0,0.0
39,18.0,0.0,0.0,0.0
23,21.0,0.0,1.0,20.0
22,24.0,0.0,5.0,500.0
41,27.0,0.0,6.0,720.0
42,31.0,0.0,9.0,1620.0
15,34.0,0.0,14.0,3920.0
43,37.0,0.0,16.0,5120.0
14,40.0,0.0,22.0,9680.0
38,43.0,0.0,24.0,11520.0
44,46.0,0.0,28.0,15680.0
37,49.0,0.0,28.0,15680.0
6,52.0,0.0,32.0,20480.0
5,55.0,0.0,41.0,33620.0
16,58.0,0.0,44.0,38720.0
17,61.0,0.0,36.0,25920.0
45,64.0,0.0,39.0,30420.0
46,67.0,0.0,47.0,44180.0
8,70.0,0.0,52.0,54080.0
48,73.0,0.0,48.0,46080.0
47,76.0,0.0,61.0,74420.0
36,79.0,0.0,56.0,62720.0
49,82.0,0.0,65.0,84500.0
11,86.0,0.0,66.0,87120.0
19,89.0,0.0,75.0,112500.0
7,92.0,0.0,78.0,121680.0
18,95.0,0.0,81.0,131220.0
27,99.0,0.0,79.0,124820.0
1,102.0,0.0,76.0,115520.0
30,105.0,0.0,89.0,158420.0
20,108.0,0.0,88.0,154880.0
32,111.0,0.0,88.0,154880.0
10,114.0,0.0,94.0,176720.0
31,117.0,0.0,106.0,224720.0
50,121.0,0.0,101.0,204020.0
33,124.0,0.0,101.0,204020.0
9,127.0,0.0,107.0,228980.0
35,130.0,0.0,107.0,228980.0
34,133.0,0.0,114.0,259920.0
29,137.0,0.0,124.0,307520.0
3,140.0,0.0,122.0,297680.0
26,144.0,0.0,124.0,307520.0
40,147.0,0.0,130.0,338000.0
21,150.0,0.0,137.0,375380.0
2,153.0,0.0,141.0,397620.0
13,156.0,0.0,129.0,332820.0

# ==================================================
# Summary
# ==================================================
# Route,[0, 28, 12, 24, 4, 25, 39, 23, 22, 41, 42, 15, 43, 14, 38, 44, 37, 6, 5, 16, 17, 45, 46, 8, 48, 47, 36, 49, 11, 19, 7, 18, 27, 1, 30, 20, 32, 10, 31, 50, 33, 9, 35, 34, 29, 3, 26, 40, 21, 2, 13, 0]
# Travel time,59.0000
# TW penalty,5625040.0000
# Objective,5625099.0000
# Customers served,50
# ==================================================
