
K = 6  [EXTERNAL_SOLUTION q4_v06_k05]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
27,1,0,0,0,0
1,4,13,0,1690,0
30,7,0,0,0,0
32,10,5,0,250,0
20,13,1,0,10,0
10,17,0,0,0,0
31,20,0,9,1620,0
28,1,0,0,0,1
12,4,1,0,10,1
26,7,8,0,640,1
21,10,0,0,0,1
4,13,0,0,0,1
39,16,0,0,0,1
25,19,0,0,0,1
23,23,0,3,180,1
22,26,0,7,980,1
41,29,0,8,1280,1
2,33,0,21,8820,1
40,36,0,19,7220,1
6,1,6,0,360,2
5,4,0,0,0,2
17,7,0,0,0,2
16,10,0,0,0,2
14,13,0,0,0,2
38,16,0,0,0,2
15,21,0,1,20,2
37,25,0,4,320,2
42,28,0,6,720,2
13,32,0,5,500,2
43,4,11,0,1210,3
44,8,0,0,0,3
18,2,8,0,640,4
8,5,3,0,90,4
48,8,8,0,640,4
45,12,0,0,0,4
46,15,0,0,0,4
47,18,0,3,180,4
36,21,0,0,0,4
49,24,0,7,980,4
19,28,0,14,3920,4
7,31,0,17,5780,4
11,35,0,15,4500,4
3,3,11,0,1210,5
29,6,0,0,0,5
24,9,6,0,360,5
34,14,0,0,0,5
35,17,0,0,0,5
9,20,0,0,0,5
33,23,0,0,0,5
50,26,0,6,720,5
==================================================
  Q4 Results
==================================================
  Vehicles        : 6
  Total travel    : 83.0000
  Total TW penalty: 44850.0000
  Objective       : 44933.0000
    V0: route_len=7, load=51.0 (85%), travel=10.00, penalty=3570.00
      route: [0, 27, 1, 30, 32, 20, 10, 31, 0]
    V1: route_len=12, load=58.0 (97%), travel=15.00, penalty=19130.00
      route: [0, 28, 12, 26, 21, 4, 39, 25, 23, 22, 41, 2, 40, 0]
    V2: route_len=10, load=55.0 (92%), travel=15.00, penalty=1920.00
      route: [0, 6, 5, 17, 16, 14, 38, 15, 37, 42, 13, 0]
    V3: route_len=2, load=11.0 (18%), travel=10.00, penalty=1210.00
      route: [0, 43, 44, 0]
    V4: route_len=11, load=54.0 (90%), travel=19.00, penalty=16730.00
      route: [0, 18, 8, 48, 45, 46, 47, 36, 49, 19, 7, 11, 0]
    V5: route_len=8, load=42.0 (70%), travel=14.00, penalty=2290.00
      route: [0, 3, 29, 24, 34, 35, 9, 33, 50, 0]
==================================================

K = 7  [EXTERNAL_SOLUTION q4_v07_k06]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
2,2,1,0,10,0
15,6,0,0,0,0
42,9,0,0,0,0
43,12,3,0,90,0
14,15,0,0,0,0
38,18,0,0,0,0
44,21,0,3,180,0
37,24,0,3,180,0
13,27,0,0,0,0
28,1,0,0,0,1
27,4,0,0,0,1
1,7,10,0,1000,1
20,11,3,0,90,1
30,14,0,0,0,1
32,17,0,0,0,1
10,20,0,0,0,1
31,23,0,12,2880,1
50,2,12,0,1440,2
6,1,6,0,360,3
5,4,0,0,0,3
16,7,0,0,0,3
45,11,0,0,0,3
17,14,0,0,0,3
18,18,0,4,320,3
26,1,14,0,1960,4
12,4,1,0,10,4
24,8,7,0,490,4
25,12,0,0,0,4
39,15,0,0,0,4
23,18,0,0,0,4
22,21,0,2,80,4
41,24,0,3,180,4
4,28,0,3,180,4
21,31,0,18,6480,4
40,34,0,17,5780,4
7,3,6,0,360,5
19,6,1,0,10,5
47,9,0,0,0,5
48,12,4,0,160,5
8,15,0,0,0,5
46,18,0,0,0,5
36,22,0,0,0,5
49,25,0,8,1280,5
11,29,0,9,1620,5
3,3,11,0,1210,6
29,6,0,0,0,6
33,10,0,0,0,6
34,14,0,0,0,6
35,17,0,0,0,6
9,20,0,0,0,6
==================================================
  Q4 Results
==================================================
  Vehicles        : 7
  Total travel    : 83.0000
  Total TW penalty: 26350.0000
  Objective       : 26433.0000
    V0: route_len=9, load=46.0 (77%), travel=12.00, penalty=460.00
      route: [0, 2, 15, 42, 43, 14, 38, 44, 37, 13, 0]
    V1: route_len=8, load=55.0 (92%), travel=11.00, penalty=3970.00
      route: [0, 28, 27, 1, 20, 30, 32, 10, 31, 0]
    V2: route_len=1, load=8.0 (13%), travel=4.00, penalty=1440.00
      route: [0, 50, 0]
    V3: route_len=6, load=31.0 (52%), travel=10.00, penalty=680.00
      route: [0, 6, 5, 16, 45, 17, 18, 0]
    V4: route_len=11, load=56.0 (93%), travel=15.00, penalty=15160.00
      route: [0, 26, 12, 24, 25, 39, 23, 22, 41, 4, 21, 40, 0]
    V5: route_len=9, load=47.0 (78%), travel=17.00, penalty=3430.00
      route: [0, 7, 19, 47, 48, 8, 46, 36, 49, 11, 0]
    V6: route_len=6, load=28.0 (47%), travel=14.00, penalty=1210.00
      route: [0, 3, 29, 33, 34, 35, 9, 0]
==================================================

K = 8  [EXTERNAL_SOLUTION q4_v08_k08]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
11,4,0,0,0,0
19,7,0,0,0,0
48,10,6,0,360,0
49,14,0,0,0,0
36,17,0,0,0,0
46,21,0,1,20,0
47,24,0,9,1620,0
27,1,0,0,0,1
28,4,0,0,0,1
26,7,8,0,640,1
24,12,3,0,90,1
12,16,0,3,180,1
3,19,0,1,20,1
50,22,0,2,80,1
42,3,0,0,0,2
43,6,9,0,810,2
14,9,0,0,0,2
38,12,0,0,0,2
44,15,0,0,0,2
16,18,0,4,320,2
37,21,0,0,0,2
13,1,8,0,640,3
2,4,0,0,0,3
15,8,0,0,0,3
41,12,0,0,0,3
22,15,0,0,0,3
21,18,0,5,500,3
40,21,0,4,320,3
31,2,1,0,10,4
10,5,8,0,640,4
32,8,7,0,490,4
