
K = 6  [DONE]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
2,2,1,0,10,0
43,6,9,0,810,0
15,9,0,0,0,0
42,12,0,0,0,0
14,15,0,0,0,0
38,18,0,0,0,0
44,21,0,3,180,0
37,24,0,3,180,0
13,27,0,0,0,0
28,1,0,0,0,1
31,5,0,0,0,1
10,8,5,0,250,1
32,11,4,0,160,1
20,14,0,0,0,1
30,17,0,1,20,1
1,20,0,0,0,1
27,23,0,3,180,1
50,2,12,0,1440,2
6,1,6,0,360,3
5,4,0,0,0,3
16,7,0,0,0,3
17,10,0,0,0,3
45,13,0,0,0,3
18,17,0,3,180,3
40,1,6,0,360,4
21,4,1,0,10,4
22,7,1,0,10,4
41,10,0,0,0,4
23,14,0,0,0,4
39,17,0,0,0,4
25,20,0,0,0,4
4,23,0,0,0,4
24,27,0,2,80,4
12,31,0,18,6480,4
26,34,0,14,3920,4
7,3,6,0,360,5
48,6,10,0,1000,5
19,9,0,0,0,5
11,12,0,0,0,5
49,16,0,0,0,5
36,19,0,0,0,5
47,22,0,7,980,5
46,25,0,5,500,5
8,28,0,10,2000,5
33,3,0,0,0,6
35,7,0,0,0,6
9,10,0,0,0,6
34,13,0,0,0,6
29,17,0,4,320,6
3,20,0,2,80,6
==================================================
  Q4 Results
==================================================
  Vehicles        : 7
  Total travel    : 78.0000
  Total TW penalty: 19870.0000
  Objective       : 19948.0000
    V0: route_len=9, load=46.0 (77%), travel=12.00, penalty=1180.00
      route: [0, 2, 43, 15, 42, 14, 38, 44, 37, 13, 0]
    V1: route_len=8, load=55.0 (92%), travel=10.00, penalty=610.00
      route: [0, 28, 31, 10, 32, 20, 30, 1, 27, 0]
    V2: route_len=1, load=8.0 (13%), travel=4.00, penalty=1440.00
      route: [0, 50, 0]
    V3: route_len=6, load=31.0 (52%), travel=9.00, penalty=540.00
      route: [0, 6, 5, 16, 17, 45, 18, 0]
    V4: route_len=11, load=56.0 (93%), travel=15.00, penalty=10860.00
      route: [0, 40, 21, 22, 41, 23, 39, 25, 4, 24, 12, 26, 0]
    V5: route_len=9, load=47.0 (78%), travel=15.00, penalty=4840.00
      route: [0, 7, 48, 19, 11, 49, 36, 47, 46, 8, 0]
    V6: route_len=6, load=28.0 (47%), travel=13.00, penalty=400.00
      route: [0, 33, 35, 9, 34, 29, 3, 0]
==================================================

K = 7  [DONE]
node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
16,4,3,0,90,0
5,7,0,0,0,0
17,10,0,0,0,0
45,13,0,0,0,0
8,16,0,0,0,0
18,19,0,5,500,0
27,1,0,0,0,1
28,4,0,0,0,1
12,7,0,0,0,1
26,10,5,0,250,1
40,13,0,0,0,1
2,16,0,4,320,1
13,19,0,0,0,1
6,22,0,2,80,1
21,2,3,0,90,2
41,6,0,0,0,2
22,9,0,0,0,2
23,12,0,0,0,2
39,15,0,0,0,2
4,18,0,0,0,2
25,21,0,0,0,2
31,2,1,0,10,3
10,5,8,0,640,3
32,8,7,0,490,3
30,11,0,0,0,3
20,14,0,0,0,3
1,18,0,0,0,3
50,2,12,0,1440,4
33,5,0,0,0,4
35,9,0,0,0,4
9,12,0,0,0,4
34,15,0,0,0,4
29,19,0,6,720,4
3,22,0,4,320,4
24,26,0,1,20,4
7,3,6,0,360,5
46,7,5,0,250,5
47,10,0,0,0,5
36,13,0,0,0,5
49,16,0,0,0,5
11,20,0,0,0,5
19,23,0,9,1620,5
48,26,0,1,20,5
42,3,0,0,0,6
15,6,0,0,0,6
43,9,6,0,360,6
38,13,0,0,0,6
44,16,0,0,0,6
14,19,0,1,20,6
37,22,0,1,20,6
==================================================
  Q4 Results
==================================================
  Vehicles        : 7
  Total travel    : 88.0000
  Total TW penalty: 7620.0000
  Objective       : 7708.0000
    V0: route_len=6, load=28.0 (47%), travel=11.00, penalty=590.00
      route: [0, 16, 5, 17, 45, 8, 18, 0]
    V1: route_len=8, load=47.0 (78%), travel=9.00, penalty=650.00
      route: [0, 27, 28, 12, 26, 40, 2, 13, 6, 0]
    V2: route_len=7, load=31.0 (52%), travel=13.00, penalty=90.00
      route: [0, 21, 41, 22, 23, 39, 4, 25, 0]
    V3: route_len=6, load=44.0 (73%), travel=10.00, penalty=1140.00
      route: [0, 31, 10, 32, 30, 20, 1, 0]
    V4: route_len=8, load=42.0 (70%), travel=16.00, penalty=2500.00
      route: [0, 50, 33, 35, 9, 34, 29, 3, 24, 0]
    V5: route_len=8, load=43.0 (72%), travel=16.00, penalty=2250.00
      route: [0, 7, 46, 47, 36, 49, 11, 19, 48, 0]
    V6: route_len=7, load=36.0 (60%), travel=13.00, penalty=400.00
      route: [0, 42, 15, 43, 38, 44, 14, 37, 0]
==================================================

K = 8  [SKIPPED: groups=8 worse than current best vehicles=7]

K = 9  [SKIPPED: groups=9 worse than current best vehicles=7]

K = 10  [SKIPPED: groups=10 worse than current best vehicles=7]

K = 11  [SKIPPED: groups=11 worse than current best vehicles=7]
